,id,year,sentence,organization,triples,title
120,32453780,2020,"Furthermore, administration of purified Sdc1 ectodomains or DNase inhibits the formation of intravascular aggregated neutrophils and NETs and significantly increases the liver bacterial burden in Sdc1-/- mice.","Department of Pediatrics, Harvard Medical School, Boston, MA, United States of America.","{Triple(2, administration, inhibits, formation)}",Host syndecan-1 Promotes Listeriosis by Inhibiting Intravascular Neutrophil Extracellular Traps
126,32148405,2018,GBHT inhibited the expansion of adipose tissue and adipocyte hypertrophy.,"Department of Earth and Life Sciences, University of Taipei, Taipei, Taiwan.","{Triple(2, GBHT, inhibited, expansion of adipose tissue and adipocyte hypertrophy)}","Ginseng-plus-Bai-Hu-Tang Ameliorates Diet-Induced Obesity, Hepatic Steatosis, and Insulin Resistance in Mice"
128,31949666,2018,"GO inhibits the proliferation of HONE1 cells, promotes their apoptosis in a concentration-dependent manner and enhances the expression of the ER stress chaperone GRP78 in HONE1 cells.","Department of Emergency, The First Affiliated Hospital of Guangxi Medical University Nanning, Guangxi, China.","{Triple(2, GO, inhibits, proliferation)}",Graphene Oxide Regulates Endoplasmic Reticulum Stress: Autophagic Pathways in Nasopharyngeal Carcinoma Cells
141,32254090,2018,"However, PEG also inhibits interactions of nanomedicines with target cancer cells, limiting the effective drug dose that can be reached within the target tumor.","Leiden Institute of Chemistry - Supramolecular and Biomaterial Chemistry, Leiden University, Einsteinweg 55, 2333CC Leiden, The Netherlands. a.kros@chem.leidenuniv.nl.","{Triple(2, PEG, inhibits, interactions)}",DePEGylation Strategies to Increase Cancer Nanomedicine Efficacy
163,32454173,2020,"In addition, DST inhibited hepatic lipid accumulation through the downregulation of C/EBPÎ±, PPARÎ³, and pAMPK.","Clinical Research Division, Korea Institute of Oriental Medicine, 1672 Yuseong-daero, 34054, Daejeon, Republic of Korea. Electronic address: jjy0918@kiom.re.kr.","{Triple(2, DST, inhibited, hepatic lipid accumulation)}",An Unbiased Lipidomics Approach Identifies Key Lipid Molecules as Potential Therapeutic Targets of Dohongsamul-tang Against Non-Alcoholic Fatty Liver Diseases in a Mouse Model of Obesity
165,32148408,2018,"In addition, JP5 and BG1 inhibited the expression of inflammatory proteins such as p-NF-ÎºB and tumor necrosis factor alpha-Î±.","Department of Food Science and Biotechnology, College of Life Science, CHA University, Seongnam, Republic of Korea.","{Triple(2, JP5 and BG1, inhibited, expression)}","Korean Red Ginseng and Korean Black Ginseng Extracts, JP5 and BG1, Prevent Hepatic Oxidative Stress and Inflammation Induced by Environmental Heat Stress"
188,32440531,2019,"Increasing concentrations of KGluc also inhibited differentiation into myofibroblasts, suggesting that local KGluc treatment might reduce fibrosis.","Department of Biology, Tufts University, Medford, Massachusetts 02155.","{Triple(2, Increasing concentrations, inhibited, differentiation)}",Hyperosmolar Potassium Inhibits Myofibroblast Conversion and Reduces Scar Tissue Formation
192,32453780,2020,"Instead, Sdc1 inhibits the clearance of Lm before the bacterium gains access to its intracellular niche.","Department of Pediatrics, Harvard Medical School, Boston, MA, United States of America.","{Triple(2, Sdc1, inhibits, clearance)}",Host syndecan-1 Promotes Listeriosis by Inhibiting Intravascular Neutrophil Extracellular Traps
228,32440504,2019,MH7A cells were used to verify whether GEN can inhibit the expression of VEGF in MH7A cells under inflammatory conditions and demonstrate the mechanism.,"Department of Orthopedic, University of Chinese Academy of Sciences Shenzhen Hospital, 518000, Shenzhen, China.","{Triple(2, GEN, can inhibit, expression)}",Genistein Inhibits Angiogenesis Developed During Rheumatoid Arthritis Through the IL-6/JAK2/STAT3/VEGF Signalling Pathway
247,32373203,2018,"Moreover, the Km values of cilastatin were increased in the presence of imipenem with unchanged Vmax , indicating that imipenem inhibited the uptake of cilastatin in a competitive manner.","Provincial Key Laboratory for Pharmacokinetics and Transport, Dalian Medical University, Dalian 116044, China.","{Triple(2, imipenem, inhibited, uptake)}",Organic Anion Transporters Also Mediate the Drug-Drug Interaction Between Imipenem and Cilastatin
32,26601851,2015,"Adiponectin promoter/reporter constructs were responsive to GH, and chromatin IP analysis reveals that STAT5 binds the adiponectin promoter in vivo following GH stimulation.","Adipocyte Biology Laboratory, Pennington Biomedical Research Center, Baton Rouge, Louisiana; and Department of Biological Sciences, Louisiana State University, Baton Rouge, Louisiana jsteph1@lsu.edu.","{Triple(3, STAT5, binds, adiponectin promoter)}",The Modulation of Adiponectin by STAT5-activating Hormones
45,25179432,2014,"As HVEM binds both inhibitory and activatory receptors, our aim in the current study was to assess the impact of CD160-specific antibodies on the enhancement of T-cell activation.","Boehringer Ingelheim Ltd,, 2100 Rue Cunard, Laval, Quebec, Canada. mohamed.el-far@hotmail.com.","{Triple(3, HVEM, binds, both inhibitory and activatory receptors)}",CD160 Isoforms and Regulation of CD4 and CD8 T-cell Responses
51,24108579,2014,"Bioinformatic analysis of Hb and TF protein sequences showed co-evolution across species, suggesting that HbÎ² binds TF.","Prof. Jeak Ling Ding, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore 117543, Tel.: +65 6516 2776, Fax: +65 6779 2486, E-mail: dbsdjl@nus.edu.sg.","{Triple(3, HbÎ², binds, TF)}",Extracellular Haemoglobin Upregulates and Binds to Tissue Factor on Macrophages: Implications for Coagulation and Oxidative Stress
59,24117868,2014,CaDC1 binds both RNA and DNA and functions as a positive regulator of plant cell death and SA-dependent defense responses.,"Laboratory of Molecular Plant Pathology, College of Life Sciences and Biotechnology, Korea University, Seoul, 136-713, Korea.","{Triple(3, CaDC1, binds, both RNA and DNA)}",The Pepper Cysteine/Histidine-Rich DC1 Domain Protein CaDC1 Binds Both RNA and DNA and Is Required for Plant Cell Death and Defense Response
66,29178720,2016,These results support a potential mechanism of action for stannous fluoride and CPC formulated in oral products in which these ingredients bind bacterial toxins and potentially render them less toxic to the host.,"The Procter $Gamble Company, Mason, Ohio, USA.","{Triple(3, these ingredients, bind, bacterial toxins)}",Lipopolysaccharide and Lipoteichoic Acid Binding by Antimicrobials Used in Oral Care Formulations
96,25971975,2015,"Each Î± polypeptide binds three dATP molecules, and the N-terminal ATP cone is critical for binding two of the dATPs because a truncated protein lacking this cone could only bind dATP to its s-site.","From the Department of Medical Biochemistry and Biophysics, UmeÃ¥ University, SE-901 87 UmeÃ¥ and anders.hofer@medchem.umu.se.","{Triple(3, Each Î± polypeptide, binds, three dATP molecules)}",Diversity in Overall Activity Regulation of Ribonucleotide Reductase
124,26601851,2015,"Furthermore, we identified three putative STAT5 binding sites in the murine adiponectin promoter and show that only one of these, located at -3,809, binds nuclear protein in a GH- or PRL-dependent manner.","Adipocyte Biology Laboratory, Pennington Biomedical Research Center, Baton Rouge, Louisiana; and Department of Biological Sciences, Louisiana State University, Baton Rouge, Louisiana jsteph1@lsu.edu.","{Triple(3, one, binds, nuclear protein)}",The Modulation of Adiponectin by STAT5-activating Hormones
134,26321680,2015,HNRNPA2B1 directly binds a set of nuclear transcripts and elicits similar alternative splicing effects as the mA writer METTL3.,"Laboratory of Systems Cancer Biology, Rockefeller University, New York, NY 10065, USA. Electronic address: stavazoie@mail.rockefeller.edu.","{Triple(3, HNRNPA2B2, binds, set)}",HNRNPA2B1 Is a Mediator of m(6)A-Dependent Nuclear RNA Processing Events
155,25658443,2015,"Human IgG1 binds cynomolgus monkey FcRn with a 2-fold higher affinity than human FcRn, and binds both mouse and rat FcRn with a 10-fold higher affinity than human FcRn.","a Protein Engineering; Rinat-Pfizer Inc. ; South San Francisco , CA USA.","{Triple(3, Human IgG1, binds, cynomolgus monkey FcRn)}",The Neonatal Fc Receptor (FcRn) Binds Independently to Both Sites of the IgG Homodimer With Identical Affinity
185,24550401,2014,"In this study, we report that IQGAP1 binds ERÎ± and ERÎ².","From the Department of Laboratory Medicine, National Institutes of Health, Bethesda, Maryland 20892.","{Triple(3, IQGAP1, binds, ERÎ± and ERÎ²)}",IQGAP1 Binds to Estrogen Receptor-α and Modulates Its Function
186,24108579,2014,"In vertebrates, extracellular Hb resulting from haemolytic infections binds bacterial lipopolysaccharide to unleash the antimicrobial redox activity of Hb.","Prof. Jeak Ling Ding, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore 117543, Tel.: +65 6516 2776, Fax: +65 6779 2486, E-mail: dbsdjl@nus.edu.sg.","{Triple(3, extracellular Hb, binds, bacterial lipopolysaccharide)}",Extracellular Haemoglobin Upregulates and Binds to Tissue Factor on Macrophages: Implications for Coagulation and Oxidative Stress
198,24103589,2014,It binds the cellular membrane phospholipids in Ca regulated manner.,"Department of Biochemistry and Microbiology, Institute of Chemical Technology, Prague, TechnickÃ¡ 5, Prague 6, 166 28, Czech Republic. Electronic address: waldacun@gmail.com.","{Triple(3, It, binds, cellular membrane phospholipids)}",The Complex Understanding of Annexin A1 Phosphorylation
201,25658443,2015,"It has been hypothesized that 2 FcRn molecules bind an IgG homodimer with disparate affinities, yet their affinity constants are inconsistent across the literature.","a Protein Engineering; Rinat-Pfizer Inc. ; South San Francisco , CA USA.","{Triple(3, 2 FcRn molecules, bind, IgG homodimer)}",The Neonatal Fc Receptor (FcRn) Binds Independently to Both Sites of the IgG Homodimer With Identical Affinity
203,24699188,2014,"KSI binds substrates at a surface cleft, TIM binds substrate at an exposed 'cage' formed by closure of flexible loops; and, DAP epimerase binds substrate in a tight cage formed by an 'oyster-like' clamping motion of protein domains.","Department of Chemistry, University at Buffalo, SUNY, Buffalo, NY 14260-3000, USA.","{Triple(3, DAP epimerase, binds, substrate), Triple(3, TIM, binds, substrate), Triple(3, KSI, binds, substrates)}",Enzyme Architecture: On the Importance of Being in a Protein Cage
276,32453722,2020,"Previous studies have shown that TGS1 binds the Survival Motor Neuron protein, whose deficiency causes spinal muscular atrophy .","Biosciences/Living Systems Institute, College of Life and Environmental Sciences, University of Exeter, United Kingdom.","{Triple(3, TGS1, binds, Survival Motor Neuron protein)}",Intimate Functional Interactions Between TGS1 and the Smn Complex Revealed by an Analysis of the Drosophila Eye Development
310,25555838,2015,"Structural analysis revealed that folic acid binds DNA and tRNA at multiple sites via hydrophilic, hydrophobic and H-bonding contacts with overall binding constants of Kfolic acid-DNA=1.1 _10 M and Kfolic acid-tRNA=6.4 _10 M.","Department of Chemistry-Biochemistry-Physics, University of QuÃ©bec at Trois-RiviÃ¨res, C.P. 500, Trois-RiviÃ¨res, QuÃ©bec G9A 5H7, Canada. Electronic address: tajmirri@uqtr.ca.","{Triple(3, folic acid, binds, DNA and tRNA)}",Folic Acid Binds DNA and RNA at Different Locations
325,25971975,2015,"The a-site resides in an N-terminal ATP cone domain that binds dATP or ATP and functions as an on/off switch, whereas the composite s-site binds ATP, dATP, dTTP, or dGTP and determines which substrate to reduce.","From the Department of Medical Biochemistry and Biophysics, UmeÃ¥ University, SE-901 87 UmeÃ¥ and anders.hofer@medchem.umu.se.","{Triple(3, composite s-site, binds, ATP, dATP, dTTP, or dGTP)}",Diversity in Overall Activity Regulation of Ribonucleotide Reductase
375,26548411,2015,The simulation results indicate that tvMyb2 becomes stable when it binds the DNA duplex.,"State Key Laboratory of Theoretical and Computational Chemistry, Institute of Theoretical Chemistry, Jilin University, Changchun 130023, People's Republic of China. zhengqc@jlu.edu.cn.","{Triple(3, it, binds, DNA duplex)}",Exploring the Mechanism of How tvMyb2 Recognizes and Binds ap65-1 by Molecular Dynamics Simulations and Free Energy Calculations
409,24449783,2014,This review focuses on what natural substrate proteins an sHSP protects and how it binds the substrates in cells under fluctuating conditions.,"State Key Laboratory of Protein and Plant Gene Research, School of Life Sciences, Peking University, Beijing 100871, China.","{Triple(3, it, binds, substrates)}",Chaperone Function and Mechanism of Small Heat-Shock Proteins
447,25658443,2015,"We find that human FcRn binds human IgG1 with an equilibrium dissociation constant of 760 Â± 60 nM at 25Â°C and pH 5.8, and shows less than 25% variation across the other human subtypes.","a Protein Engineering; Rinat-Pfizer Inc. ; South San Francisco , CA USA.","{Triple(3, human FcRn, binds, human IgG1)}",The Neonatal Fc Receptor (FcRn) Binds Independently to Both Sites of the IgG Homodimer With Identical Affinity
2,32435281,2019,Establishment of pregnancy in mammals requires reciprocal molecular communication between the conceptus and endometrium that modifies the endometrial transcriptome and uterine luminal milieu to support pregnancy.,"School of Agriculture and Food Science, University College Dublin, Belfield, Dublin 4, Ireland.","{Triple(4, establishment, requires, reciprocal molecular communication)}",Aspects of Embryo-Maternal Communication in Establishment of Pregnancy in Cattle
18,32431574,2019,A total of 63% required cutaneous grafting: it was observed that those grafted early spent fewer days in the ICU and a lower percentage of them contracted sepsis .,"Hospital Central Sur de Alta Especialidad de PEMEX, Mexico City, Mexico.","{Triple(4, total, required, cutaneous grafting)}",Epidemiology of Burn Injuries: 2 Years' Experience in a Specialized Hospital in Mexico City
26,32431423,2019,"According to the Uniform Determination of Death Act , promulgated in 1981 by the President's Commission , the legal declaration of death using the brain death standard requires the irreversible cessation of all functions of the entire brain, including the brain stem.","Pontifical University of St. Thomas Aquinas, Rome, Italy.","{Triple(4, legal declaration, requires, irreversible cessation)}","Evolution of the Criteria of ""Brain Death"": A Critical Analysis Based on Scientific Realism and Christian Anthropology"
39,32435290,2019,"Alterations in the early embryonic reprogramming wave can impair DNA methylation patterns and induce permanent changes to the developmental program, leading to the onset of adverse health outcomes in offspring.","Department of Obstetrics & Gynecology, UniversitÃ© de MontrÃ©al, Research Center of the CHU Sainte-Justine, MontrÃ©al, Canada.","{Triple(4, alterations, induce, permanent changes)}","DNA Methylation, Environmental Exposures and Early Embryo Development"
41,32455482,2020,"Although the factor structure of the EAVE-Q requires replication in other AN samples, the EAVE-Q is the first measure of a critical internal dialogue in AN.","Consultant Clinical Psychologist/Clinical Director/Senior Lecturer in Clinical Psychology (honorary), Cardiff University and Prifysgol Caerdydd and Cardiff and Vale NHS board, UK.","{Triple(4, factor structure, requires, replication)}",THE DEVELOPMENT AND ASSESSMENT OF A SCALE TO MEASURE THE EXPERIENCE OF AN ANOREXIC VOICE IN ANOREXIA NERVOSA
44,32254905,2018,"Appropriate selection and design of hydrogel systems for bioelectronics requires an understanding of the physical, chemical and biological properties of hydrogels as well as their structure-property relationships.","Department of Bioengineering, Imperial College London, London SW72AS, UK. rylie.green@imperial.ac.uk.","{Triple(4, Appropriate selection and design of hydrogel systems for bioelectronics, requires, understanding of the physical, chemical and biological properties of hydrogels)}",Considerations for Hydrogel Applications to Neural Bioelectronics
63,32411924,2018,Circular dichroism studies indicated that phosphorylation at various Ser residues induced helical structure in different environments.,"RTI, International, Research Triangle Park, NC, USA.","{Triple(4, phosporylation, induced, helical structure)}",CB1 Cannabinoid Receptor-Phosphorylated Fourth Intracellular Loop Structure-Function Relationships
85,32038093,2018,"Deliberative interviews require a comprehensive, pre-interview briefing on the subject matter followed by interactive deliberation wherein complex issues are debated across viewpoints in an effort to devise solutions.","Harvard T.H. Chan School of Public Health, Boston, MA, USA.","{Triple(4, Deliberative interviews, require, comprehensive, pre-interview briefing)}",From Doxastic to Epistemic: A Typology and Critique of Qualitative Interview Styles
91,32454242,2020,"Due to financial and ethical implications, these judgments require technical and precise knowledge.","Department of Computer Science and Mathematics, Faculty of Philosophy, Sciences and Languages at Ribeirao Preto (FFCLRP), University of Sao Paulo (USP), Av. Bandeirantes, 3900, RibeirÃ£o Preto, SP, 14040-901, Brazil. Electronic address: ale.alaniz@usp.br.","{Triple(4, these judgments, require, technical and precise knowledge)}",Prediction of Mortality in Intensive Care Units: A Multivariate Feature Selection
